Updated Date,Expiration Date,Ticker,Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,Rho,Volume,Open Int,Vol/OI,Type,Last Trade,Avg IV
20231012,20231020,spy,150.00,286.31,287.36,351.80%,0.98941,0.00012,-0.40095,0.0178,0.03104,1,303,0.0,Call,10/11/23,14.71%
20231012,20231020,spy,155.00,289.34,282.37,341.93%,0.98905,0.00013,-0.40206,0.01833,0.03221,0,52,0.0,Call,09/18/23,14.71%
20231012,20231020,spy,160.00,290.8,277.38,332.38%,0.98868,0.00014,-0.4031,0.01888,0.03337,0,0,0.0,Call,09/14/23,14.71%
20231012,20231020,spy,165.00,285.78,272.39,322.87%,0.98835,0.00014,-0.40248,0.01937,0.03455,0,0,0.0,Call,09/14/23,14.71%
20231012,20231020,spy,170.00,0.0,267.4,313.90%,0.98796,0.00015,-0.40339,0.01993,0.03568,0,0,0.0,Call,,14.71%
20231012,20231020,spy,175.00,0.0,262.4,305.19%,0.98756,0.00016,-0.40425,0.02051,0.03679,0,0,0.0,Call,,14.71%
20231012,20231020,spy,180.00,266.59,257.42,296.72%,0.98715,0.00017,-0.40503,0.0211,0.03789,0,0,0.0,Call,09/08/23,14.71%
20231012,20231020,spy,185.00,0.0,252.43,288.49%,0.98674,0.00018,-0.40576,0.0217,0.03898,0,0,0.0,Call,,14.71%
20231012,20231020,spy,190.00,240.07,247.43,280.47%,0.9863,0.00019,-0.40643,0.02232,0.04005,0,5,0.0,Call,10/09/23,14.71%
20231012,20231020,spy,195.00,243.8,242.44,272.44%,0.98591,0.0002,-0.40549,0.02288,0.04113,0,0,0.0,Call,08/25/23,14.71%
20231012,20231020,spy,200.00,236.5,237.45,264.83%,0.98545,0.00021,-0.40604,0.02353,0.04218,0,2,0.0,Call,08/18/23,14.71%
20231012,20231020,spy,205.00,235.54,232.46,257.40%,0.98498,0.00023,-0.40652,0.0242,0.04324,0,0,0.0,Call,08/22/23,14.71%
20231012,20231020,spy,210.00,229.17,227.47,250.14%,0.98449,0.00024,-0.40694,0.02488,0.04429,0,0,0.0,Call,08/25/23,14.71%
20231012,20231020,spy,215.00,0.0,222.48,243.04%,0.98399,0.00025,-0.40729,0.02558,0.04534,0,0,0.0,Call,,14.71%
20231012,20231020,spy,220.00,204.03,217.49,236.11%,0.98346,0.00027,-0.40757,0.02631,0.04638,0,0,0.0,Call,10/06/23,14.71%
20231012,20231020,spy,225.00,0.0,212.5,229.31%,0.98292,0.00028,-0.40779,0.02705,0.04742,0,0,0.0,Call,,14.71%
20231012,20231020,spy,230.00,201.4,207.5,222.48%,0.98242,0.0003,-0.40645,0.02773,0.04847,0,0,0.0,Call,06/09/23,14.71%
20231012,20231020,spy,235.00,0.0,202.52,215.97%,0.98184,0.00032,-0.40652,0.02852,0.04951,0,0,0.0,Call,,14.71%
20231012,20231020,spy,240.00,199.61,197.53,209.58%,0.98124,0.00034,-0.40652,0.02934,0.05054,0,0,0.0,Call,06/27/23,14.71%
20231012,20231020,spy,245.00,0.0,192.54,203.31%,0.98061,0.00036,-0.40644,0.03018,0.05158,0,0,0.0,Call,,14.71%
20231012,20231020,spy,250.00,171.7,187.55,197.15%,0.97995,0.00038,-0.40628,0.03106,0.05261,0,64,0.0,Call,10/03/23,14.71%
20231012,20231020,spy,255.00,166.73,182.56,191.11%,0.97927,0.0004,-0.40604,0.03196,0.05364,0,1,0.0,Call,10/03/23,14.71%
20231012,20231020,spy,260.00,170.01,177.57,185.16%,0.97856,0.00043,-0.40571,0.0329,0.05466,0,8,0.0,Call,09/28/23,14.71%
20231012,20231020,spy,265.00,166.88,172.58,179.32%,0.97781,0.00045,-0.40528,0.03387,0.05569,0,2,0.0,Call,09/22/23,14.71%
20231012,20231020,spy,270.00,158.16,167.58,173.43%,0.97711,0.00048,-0.40337,0.03478,0.05671,0,7,0.0,Call,10/09/23,14.71%
20231012,20231020,spy,275.00,162.34,162.34,160.21%,0.9805,0.00045,-0.33098,0.03033,0.05819,3,22,0.14,Call,10/11/23,14.71%
20231012,20231020,spy,280.00,144.34,157.6,162.20%,0.97544,0.00055,-0.40205,0.03692,0.05874,0,23,0.0,Call,09/27/23,14.71%
20231012,20231020,spy,285.00,171.79,152.61,156.71%,0.97454,0.00058,-0.40123,0.03806,0.05975,0,13,0.0,Call,07/18/23,14.71%
20231012,20231020,spy,290.00,155.5,147.62,151.30%,0.9736,0.00062,-0.40029,0.03925,0.06075,0,3,0.0,Call,08/15/23,14.71%
20231012,20231020,spy,295.00,152.0,142.63,145.96%,0.9726,0.00067,-0.39924,0.0405,0.06175,0,10,0.0,Call,09/15/23,14.71%
20231012,20231020,spy,300.00,131.14,137.64,140.68%,0.97154,0.00071,-0.39805,0.04181,0.06274,0,53,0.0,Call,10/09/23,14.71%
20231012,20231020,spy,305.00,145.22,132.65,135.48%,0.97043,0.00076,-0.39673,0.04318,0.06373,0,4,0.0,Call,08/29/23,14.71%
20231012,20231020,spy,310.00,139.4,127.66,130.34%,0.96924,0.00082,-0.39526,0.04462,0.06471,0,31,0.0,Call,08/04/23,14.71%
20231012,20231020,spy,315.00,135.33,122.67,125.26%,0.96798,0.00088,-0.39364,0.04614,0.06568,0,5,0.0,Call,08/29/23,14.71%
20231012,20231020,spy,320.00,110.54,117.69,120.33%,0.96653,0.00095,-0.39311,0.04787,0.06664,0,8,0.0,Call,10/06/23,14.71%
20231012,20231020,spy,325.00,109.84,112.69,115.35%,0.96509,0.00103,-0.39112,0.04957,0.06759,1,267,0.0,Call,10/11/23,14.71%
20231012,20231020,spy,330.00,98.81,107.71,110.52%,0.96343,0.00112,-0.39017,0.0515,0.06853,0,317,0.0,Call,09/26/23,14.71%
20231012,20231020,spy,335.00,87.14,102.73,105.73%,0.96164,0.00121,-0.38897,0.05356,0.06945,0,7,0.0,Call,10/04/23,14.71%
20231012,20231020,spy,340.00,90.96,97.73,100.88%,0.95984,0.00132,-0.38632,0.05561,0.07037,0,83,0.0,Call,10/06/23,14.71%
20231012,20231020,spy,345.00,91.52,92.75,96.16%,0.95776,0.00144,-0.38458,0.05795,0.07126,1,14,0.07,Call,10/11/23,14.71%
20231012,20231020,spy,350.00,82.9,87.76,91.46%,0.95549,0.00158,-0.38252,0.06046,0.07214,0,548,0.0,Call,10/09/23,14.71%
20231012,20231020,spy,355.00,74.95,82.78,86.87%,0.95288,0.00175,-0.38124,0.06331,0.07298,0,216,0.0,Call,09/29/23,14.71%
20231012,20231020,spy,360.00,70.73,77.8,82.14%,0.9503,0.00193,-0.37733,0.06608,0.07383,0,383,0.0,Call,10/06/23,14.71%
20231012,20231020,spy,365.00,57.7,72.82,77.58%,0.94715,0.00214,-0.37518,0.0694,0.07462,0,539,0.0,Call,10/05/23,14.71%
20231012,20231020,spy,370.00,64.51,67.83,72.89%,0.94397,0.00239,-0.37042,0.0727,0.07541,3,574,0.01,Call,10/11/23,14.71%
20231012,20231020,spy,375.00,52.65,62.84,68.34%,0.94007,0.00269,-0.36719,0.07666,0.07613,0,121,0.0,Call,10/06/23,14.71%
20231012,20231020,spy,380.00,54.9,57.86,63.72%,0.93585,0.00304,-0.36231,0.08086,0.07682,3,"2,374",0.0,Call,10/11/23,14.71%
20231012,20231020,spy,382.00,0.0,55.87,61.92%,0.93386,0.0032,-0.36093,0.08281,0.07706,0,0,0.0,Call,,14.71%
20231012,20231020,spy,384.00,0.0,53.88,60.06%,0.93194,0.00338,-0.35845,0.08467,0.07732,0,0,0.0,Call,,14.71%
20231012,20231020,spy,385.00,48.47,52.88,59.15%,0.93085,0.00347,-0.35764,0.08572,0.07743,0,"1,873",0.0,Call,10/09/23,14.71%
20231012,20231020,spy,386.00,37.62,51.89,58.25%,0.92973,0.00357,-0.35679,0.08679,0.07754,0,23,0.0,Call,10/04/23,14.71%
20231012,20231020,spy,388.00,43.74,49.89,56.38%,0.92757,0.00378,-0.35404,0.08883,0.07777,0,0,0.0,Call,10/06/23,14.71%
20231012,20231020,spy,390.00,46.0,47.9,54.57%,0.92509,0.004,-0.35207,0.09116,0.07797,51,"8,676",0.01,Call,10/11/23,14.71%
20231012,20231020,spy,392.00,0.0,45.91,52.75%,0.92244,0.00425,-0.3499,0.09361,0.07815,0,0,0.0,Call,,14.71%
20231012,20231020,spy,394.00,34.93,43.9,50.71%,0.92044,0.00451,-0.34399,0.09544,0.0784,0,4,0.0,Call,10/06/23,14.71%
20231012,20231020,spy,395.00,35.0,42.91,49.79%,0.91897,0.00466,-0.34277,0.09678,0.07848,0,"2,717",0.0,Call,10/09/23,14.71%
20231012,20231020,spy,396.00,38.86,41.91,48.88%,0.91744,0.00481,-0.34148,0.09815,0.07855,2,122,0.02,Call,10/11/23,14.71%
20231012,20231020,spy,397.00,0.0,40.93,48.11%,0.91524,0.00499,-0.34273,0.10012,0.07856,0,0,0.0,Call,,14.71%
20231012,20231020,spy,398.00,25.73,39.92,47.04%,0.91423,0.00515,-0.33874,0.10101,0.07868,0,3,0.0,Call,10/05/23,14.71%
20231012,20231020,spy,399.00,0.0,38.95,46.31%,0.91168,0.00534,-0.34066,0.10325,0.07865,0,0,0.0,Call,,14.71%
20231012,20231020,spy,400.00,35.76,37.93,45.19%,0.91078,0.00552,-0.33575,0.10404,0.07879,606,"2,266",0.27,Call,10/11/23,14.71%
20231012,20231020,spy,401.00,34.78,36.94,44.31%,0.90873,0.00572,-0.33498,0.10581,0.07881,300,169,1.78,Call,10/11/23,14.71%
20231012,20231020,spy,402.00,25.8,35.95,43.43%,0.9066,0.00594,-0.33412,0.10764,0.07882,0,51,0.0,Call,10/02/23,14.71%
20231012,20231020,spy,403.00,26.8,34.95,42.45%,0.90484,0.00616,-0.33155,0.10913,0.07887,0,"1,166",0.0,Call,09/28/23,14.71%
20231012,20231020,spy,404.00,22.19,33.96,41.56%,0.90254,0.0064,-0.33052,0.11107,0.07887,0,65,0.0,Call,10/05/23,14.71%
20231012,20231020,spy,405.00,31.25,32.97,40.66%,0.90014,0.00666,-0.32939,0.11307,0.07886,66,741,0.09,Call,10/11/23,14.71%
